Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-06-27,13:30:00,Allianz_SE,342.3999938964844
2025-06-27,14:00:00,Allianz_SE,342.3999938964844
2025-06-27,14:30:00,Allianz_SE,342.6000061035156
2025-06-27,15:00:00,Allianz_SE,342.5
2025-06-27,15:30:00,Allianz_SE,342.1000061035156
2025-06-27,16:00:00,Allianz_SE,342.5
2025-06-27,16:30:00,Allianz_SE,342.79998779296875
2025-06-27,17:00:00,Allianz_SE,343.0
2025-06-30,09:00:00,Allianz_SE,344.79998779296875
2025-06-30,09:30:00,Allianz_SE,344.79998779296875
2025-06-30,10:00:00,Allianz_SE,344.1000061035156
2025-06-30,10:30:00,Allianz_SE,343.8999938964844
2025-06-30,11:00:00,Allianz_SE,344.5
2025-06-30,11:30:00,Allianz_SE,343.6000061035156
2025-06-30,12:00:00,Allianz_SE,344.1000061035156
2025-06-30,12:30:00,Allianz_SE,344.29998779296875
2025-06-30,13:00:00,Allianz_SE,344.29998779296875
2025-06-30,13:30:00,Allianz_SE,344.20001220703125
2025-06-30,14:00:00,Allianz_SE,343.6000061035156
2025-06-30,14:30:00,Allianz_SE,343.70001220703125
2025-06-30,15:00:00,Allianz_SE,343.5
2025-06-30,15:30:00,Allianz_SE,343.20001220703125
2025-06-30,16:00:00,Allianz_SE,343.79998779296875
2025-06-30,16:30:00,Allianz_SE,344.29998779296875
2025-06-30,17:00:00,Allianz_SE,344.6000061035156
2025-07-01,09:00:00,Allianz_SE,346.70001220703125
2025-07-01,09:30:00,Allianz_SE,346.70001220703125
2025-07-01,10:00:00,Allianz_SE,345.79998779296875
2025-07-01,10:30:00,Allianz_SE,346.6000061035156
2025-07-01,11:00:00,Allianz_SE,346.3999938964844
2025-07-01,11:30:00,Allianz_SE,346.1000061035156
2025-07-01,12:00:00,Allianz_SE,345.3999938964844
2025-07-01,12:30:00,Allianz_SE,345.1000061035156
2025-07-01,13:00:00,Allianz_SE,345.20001220703125
2025-07-01,13:30:00,Allianz_SE,344.29998779296875
